trip_id,stop_id,delay_sec
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,25,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,248,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,1,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,769,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,704,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,1181,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,1020,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,498,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,179,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,700,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,1507,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,1630,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,2948,
6369677-30_A_50_3003_10:24-SETP2025-30-Semaine-32,2685,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,447,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,1593,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,1054,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,908,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,233,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,2665,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,868,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,2861,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,1198,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,1199,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,548,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,247,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,275,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,1073,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,480,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,117,
6414244-07_A_49_0707_11:44-SETP2025-07-L-Ma-J-V-41,1153,
